item_id,item_name,item_detail
ITEM000001,大工工具軽量タイプ,多機能な大工工具です。大工工具軽量タイプは、プロの現場作業に最適化されています。
ITEM000002,外装材高品質シリーズ,施工が容易な外装材です。外装材高品質シリーズは、建築現場での使用に最適化されています。環境に配慮した素材を使用し、リサイクル可能な設計となっています。
ITEM000003,塗装工具コンパクトセット,作業効率の高い塗装工具です。塗装工具コンパクトセットは、プロの現場作業に最適化されています。
ITEM000004,塗装工具コンパクトモデル,耐久性に優れた塗装工具です。塗装工具コンパクトモデルは、プロの現場作業に最適化されています。
ITEM000005,測定工具重作業用シリーズ,プロ仕様の測定工具です。測定工具重作業用シリーズは、プロの現場作業に最適化されています。高精度な加工が可能で、プロの職人にも好評です。
ITEM000006,研磨工具耐久プロ仕様,耐久性に優れた研磨工具です。研磨工具耐久プロ仕様は、プロの現場作業に最適化されています。
ITEM000007,木材プレミアムスタイル,コストパフォーマンスの高い木材です。木材プレミアムスタイルは、建築現場での使用に最適化されています。
ITEM000008,つま先カバー快適グレード,軽量で使いやすいつま先カバーです。つま先カバー快適グレードは、作業者の安全を確保するために設計されています。
ITEM000009,配管防湿スタイル,コストパフォーマンスの高い配管です。配管防湿スタイルは、建築現場での使用に最適化されています。メンテナンスが容易で、長期間の使用に適しています。
ITEM000010,保護メガネ防音モデル,快適な着け心地の保護メガネです。保護メガネ防音モデルは、作業者の安全を確保するために設計されています。快適な着け心地を実現し、長時間の作業でも疲れにくい設計です。
ITEM000011,反射ベスト耐熱タイプ,耐久性に優れた反射ベストです。反射ベスト耐熱タイプは、作業者の安全を確保するために設計されています。
ITEM000012,ドライバー軽量タイプ 充電式,作業効率の高いドライバーです。ドライバー軽量タイプ 充電式は、プロの現場作業に最適化されています。高精度な加工が可能で、プロの職人にも好評です。
ITEM000013,ヘルメット耐熱スタイル,防護性能の高いヘルメットです。ヘルメット耐熱スタイルは、作業者の安全を確保するために設計されています。
ITEM000014,塗料プレミアムグレード,デザイン性の高い塗料です。塗料プレミアムグレードは、建築現場での使用に最適化されています。
ITEM000015,電気標準クラス,遮音性能の高い電気です。電気標準クラスは、建築現場での使用に最適化されています。
ITEM000016,安全帯通気性クラス,快適な着け心地の安全帯です。安全帯通気性クラスは、作業者の安全を確保するために設計されています。通気性に優れ、夏場の作業でも快適に使用できます。
ITEM000017,防塵マスク防衝撃タイプ,通気性の良い防塵マスクです。防塵マスク防衝撃タイプは、作業者の安全を確保するために設計されています。
ITEM000018,ハンマーコンパクトモデル,多機能なハンマーです。ハンマーコンパクトモデルは、プロの現場作業に最適化されています。安全機能が充実しており、作業効率と安全性を両立しています。
ITEM000019,外装材耐候モデル,遮音性能の高い外装材です。外装材耐候モデルは、建築現場での使用に最適化されています。
ITEM000020,耳栓防塵スタイル,通気性の良い耳栓です。耳栓防塵スタイルは、作業者の安全を確保するために設計されています。
ITEM000021,安全帯耐熱クラス,安全性の高い安全帯です。安全帯耐熱クラスは、作業者の安全を確保するために設計されています。
ITEM000022,切断工具耐久セット,使いやすい切断工具です。切断工具耐久セットは、プロの現場作業に最適化されています。
ITEM000023,防音材遮熱スタイル,環境に配慮した防音材です。防音材遮熱スタイルは、建築現場での使用に最適化されています。
ITEM000024,切断工具重作業用モデル,使いやすい切断工具です。切断工具重作業用モデルは、プロの現場作業に最適化されています。
ITEM000025,金属耐候モデル,施工が容易な金属です。金属耐候モデルは、建築現場での使用に最適化されています。
ITEM000026,グラインダーコンパクトセット,軽量で使いやすいグラインダーです。グラインダーコンパクトセットは、プロの現場作業に最適化されています。使いやすさを追求した設計で、初心者でも安心して使用できます。
ITEM000027,作業手袋通気性クラス,軽量で使いやすい作業手袋です。作業手袋通気性クラスは、作業者の安全を確保するために設計されています。
ITEM000028,耐火材耐震クラス,デザイン性の高い耐火材です。耐火材耐震クラスは、建築現場での使用に最適化されています。
ITEM000029,ドライバーハイパワーセット,多機能なドライバーです。ドライバーハイパワーセットは、プロの現場作業に最適化されています。安全機能が充実しており、作業効率と安全性を両立しています。
ITEM000030,モルタル耐震シリーズ,耐久性に優れたモルタルです。モルタル耐震シリーズは、建築現場での使用に最適化されています。
ITEM000031,防塵マスク防塵モデル,通気性の良い防塵マスクです。防塵マスク防塵モデルは、作業者の安全を確保するために設計されています。
ITEM000032,保護メガネ通気性スタイル,防護性能の高い保護メガネです。保護メガネ通気性スタイルは、作業者の安全を確保するために設計されています。
ITEM000033,ヘルメット安全規格対応タイプ,快適な着け心地のヘルメットです。ヘルメット安全規格対応タイプは、作業者の安全を確保するために設計されています。
ITEM000067,塗料エコモデル,環境に配慮した塗料です。塗料エコモデルは、建築現場での使用に最適化されています。
ITEM000034,つま先カバー安全規格対応クラス 洗濯可能,通気性の良いつま先カバーです。つま先カバー安全規格対応クラス 洗濯可能は、作業者の安全を確保するために設計されています。通気性に優れ、夏場の作業でも快適に使用できます。
ITEM000035,測定工具プロ仕様セット,耐久性に優れた測定工具です。測定工具プロ仕様セットは、プロの現場作業に最適化されています。
ITEM000036,配管工具重作業用タイプ,安全設計の配管工具です。配管工具重作業用タイプは、プロの現場作業に最適化されています。
ITEM000037,木材標準クラス,遮音性能の高い木材です。木材標準クラスは、建築現場での使用に最適化されています。
ITEM000038,研磨工具プロ仕様シリーズ,軽量で使いやすい研磨工具です。研磨工具プロ仕様シリーズは、プロの現場作業に最適化されています。
ITEM000039,サンダー重作業用プロ仕様,軽量で使いやすいサンダーです。サンダー重作業用プロ仕様は、プロの現場作業に最適化されています。
ITEM000040,ドライバーマルチタイプ,安全設計のドライバーです。ドライバーマルチタイプは、プロの現場作業に最適化されています。
ITEM000041,大工工具マルチモデル,多機能な大工工具です。大工工具マルチモデルは、プロの現場作業に最適化されています。
ITEM000042,ドライバーマルチモデル,耐久性に優れたドライバーです。ドライバーマルチモデルは、プロの現場作業に最適化されています。高精度な加工が可能で、プロの職人にも好評です。
ITEM000043,ヘルメット防音クラス,耐久性に優れたヘルメットです。ヘルメット防音クラスは、作業者の安全を確保するために設計されています。
ITEM000044,電気工具プロ仕様モデル,使いやすい電気工具です。電気工具プロ仕様モデルは、プロの現場作業に最適化されています。
ITEM000045,配管防音スタイル リサイクル材使用,耐久性に優れた配管です。配管防音スタイル リサイクル材使用は、建築現場での使用に最適化されています。
ITEM000046,ドライバープロ仕様シリーズ,多機能なドライバーです。ドライバープロ仕様シリーズは、プロの現場作業に最適化されています。
ITEM000047,木材標準スタイル,断熱性能の高い木材です。木材標準スタイルは、建築現場での使用に最適化されています。
ITEM000048,防音ヘッドホン安全規格対応グレード,通気性の良い防音ヘッドホンです。防音ヘッドホン安全規格対応グレードは、作業者の安全を確保するために設計されています。
ITEM000049,作業手袋耐熱モデル,通気性の良い作業手袋です。作業手袋耐熱モデルは、作業者の安全を確保するために設計されています。通気性に優れ、夏場の作業でも快適に使用できます。
ITEM000050,反射ベスト安全規格対応グレード,快適な着け心地の反射ベストです。反射ベスト安全規格対応グレードは、作業者の安全を確保するために設計されています。快適な着け心地を実現し、長時間の作業でも疲れにくい設計です。
ITEM000051,石材防音スタイル,環境に配慮した石材です。石材防音スタイルは、建築現場での使用に最適化されています。
ITEM000052,ノコギリハイパワータイプ,耐久性に優れたノコギリです。ノコギリハイパワータイプは、プロの現場作業に最適化されています。プロの現場での使用を想定した耐久性テストを実施済みです。
